id,question,correct_answer,option1,option2,option3,option4,category,points
615,What did the Prophet(SAW) say about earning at honest living?.,Earning an honest living is a duty next in importance to the principal duties of iman(faith).,Earning an honest living is a duty that is more importance than the principal duties of iman(faith).,Earning an honest living is a duty next in importance to the principal duties of iman(faith).,Earning an honest living is a duty that is survival of the fittest.,Whatever you do to earn an honest living is a duty that will not be questioned whatsoever.,Hadith,10
616,"An ordinary, generous person is dearer to Allah than what kind of person?","An ordinary, generous person is dearer to Allah than a religious miser.","An ordinary, generous person is dearer to Allah than a just Imam.","An ordinary, generous person is  as dearer to Allah as a religious miser.","An ordinary, generous person is dearer to Allah than a religious miser.","An ordinary, generous person is not dearer to Allah than a religious miser.",Hadith,10
617,How will a betrayer of secrets be punished in the hereafter?,Allah will disclose his secrets and disgrace him.,Allah will punish him secretly.,Allah will not disclose his secrets nor disgrace him.,Allah will punish him as He wills.,Allah will disclose his secrets and disgrace him.,Hadith,10
618,"""Mix business with charity,"" said the Prophet(SAW) to a group of people. Do you know who these people Name ",Merchants.,Merchants.,Contractors,Professors,Non governmental Organization.,Hadith,10
619,"The Prophet(SAW)said, ""Spend, be ungrudging and do not keep what is left over…"" Failing which, what would Allah do?",Allah will also deal grudgingly with you.,Allah will deal with you gently,Allah will also deal grudgingly with you.,Allah will answer you quickly.,Allah will raise you in ranks.,Hadith,10
620,"On the Day of Judgement, Allah will say to a person, ""O son of Adam, I was sick and you did not visit Me."" The man would exclaim,"" O Lord, how could I have visited You? You are the Lord of the Worlds. What would Allah's reply be?","Allah will say, "" You knew that so and so servant of Mine was sick, but you did not visit him. Had you visited him, you would have found Me with him"". ",Allah will say go in peace since you recognize me as the Lord of the worlds.,Allah will say enter into hell fire as that would be your abode today.,"Allah will say, "" You knew that so and so servant of Mine was sick, but you did not visit him. Had you visited him, you would have found Me with him"". ",None of the above.,Hadith,10
621,Who are persons the Prophet(SAW) said that Allah does not refuse their prayers? 1. A fasting man at the time of breaking his fast; 2. A just ruler; 3. An oppressed person.,all of the above. ,1 only.,1 and 2 only.,1 and 3 only.,all of the above. ,Hadith,10
622,"The Prophet(SAW)said, every religion had a distinctive quality. What is the distinctive quality of Islam?",The distinctive quality of Islam is modesty.,The distinctive quality of Islam is modesty.,The distinctive quality of Islam is Zakah.,The distinctive quality of Islam is Iman.,The distinctive quality of Islam is Salah.,Hadith,10
623,"The Prophet(SAW) said that when you visited a sick person, you should ask him to pray for you. Why did he say so?",A sick person's prayer is like that of angels.,A sick person's prayer is like that of Prophets.,A sick person's prayer is like that of angels.,A sick person's prayer is like that of our mothers.,A sick person's prayer must never be sought as seeking it is shirk.,Hadith,10
624,"Whenever a Muslim supplicate on behalf of his brother in his absence, what does the angel say?","The angel repeats, May you also have the same.","The angel repeats, May you also be remembered.","The angel repeats, May Allah grant you good health.","The angel repeats, May you also have the same.","The angel repeats, May Allah lengthen your life.",Hadith,10
625,"The Prophet(SAW), ""Modesty and faith exist together…"" What happens if one disappears?",The other also disappears.,The believer is finished.,The other becomes crumbled.,The other becomes also available.,The other also disappears.,Hadith,10
626,""" He who conceals the faults fo a believers will have his faults concealed by Allah on the Day of Judgement."" Under what situations is the content of this hadith not followed. 1. In a court of law; 2. When obtaining an opinion about a proposal of marriage; 3. When it concerns one who holds public office.",all of the above.,all of the above.,1 and 3 only,2 and 3 only.,1 only.,Hadith,10
627,Do you remember the supplication which the Prophet(SAW) made most often?,"""O Lord, bestow upon us the best of this world and the best of the hereafter, and deliver us from the torment of fire.","""O Lord, bestow upon us the best of this world, and deliver us from the torment of fire.","""O Lord, bestow upon us the best of this world and the best of the hereafter, and deliver us from the torment of fire.","""O Lord, bestow upon us the best of the hereafter, and deliver us from the torment of fire.",None of the above.,Hadith,10
628,"Speaking of the qualities of the believer, the Prophet(SAW)said,""if he experiences a blessing, he is grateful to Allah- which is good for him…"" But if he experiences any adversity, how does he react?","If the believers experiences any adversity, he remains patient- which is also good for him.","If the believers experiences any adversity, he remains positive.","If the believers experiences any adversity, he remains strong.","If the believers experiences any adversity, he remains patient- which is also good for him.",If the believers experiences any adversity he remains adamant- which is also good for him.,Hadith,10
629,What is the most pleasing of all actions to Allah?,The most pleasing to Allah of all actions is that which is done unfailingly though it may be minor significance.,The most pleasing to Allah of all actions is that which is done without pride.,The most pleasing to Allah of all actions is that which is done with the consent of your guardian.,The most pleasing to Allah of all actions is that which is done with iman.,The most pleasing to Allah of all actions is that which is done unfailingly though it may be minor significance.,Hadith,10
630,What reward did the Prophet(SAW)specify for one who attends a funeral procession?,A reward equal to one qeeraat.,A reward equal to one qeeraat.,A reward equal to one Dirham.,A reward equal to one Gold bar.,A reward equal to mount Uhud.,Hadith,10
631,"If a believer is afflicted by any kind of trouble, sorrow, illness, grief or pain even if it is the pricking of a thorn. What does Allah do to relieve due such pain or grief?",Allah takes away some of his sins.,Allah takes away some of his debts.,Allah takes away some of his sins.,Allah takes away some of his afflictions.,Allah takes away some of his sorrows.,Hadith,10
632,"The Prophet(SAW)said, ""There are three kinds of people who are loved by Allah.."" Name any one of them.",A man who gets up at night to read the Quran,A man of dignity.,A man who was wise enough to run away from lost battle.,A man who gets up at night to read the Quran,A man who gives alms and boast of it.,Hadith,10
633,How many times over will a person receive a reward if he spends his wealth for the cause of Allah?,700 times.,600 times.,300 times.,500 times.,700 times.,Hadith,10
634,"The Prophet(SAW)said, ""The ability to act in a calm and composed manner in haste is the very opposite. To whom does it show loyalty?",Acting in haste means following Satan.,Acting in haste means following Satan.,Acting in haste means being wise.,Acting in haste means reaching your goals on time.,Acting in haste means stupidity.,Hadith,10
635,"When a man said,"" O messenger of Allah, the doctrines of Islam are very many, so kindly tell me one thing to which I should hold fast,"" what was the Prophet reply?",Let your tongue be constantly occupied with the remembrance of Allah.,Ensure you go on pilgrimage.,Let your tongue be constantly occupied with the remembrance of Allah.,Be kind to your parent.,Do not be angry.,Hadith,10
636,"The Prophet(SAW)said, ""Allah says that so long as you do not associate anything with Him and seek His forgiveness. He will forgive all your sins."" if such a believer came with a whole world of sin, what would Allah do?",Allah would come with a whole world of forgiveness.,Allah would come with a bounty as huge as Uhud.,Allah would come with a whole world of salvation.,Allah would come with a whole world of forgiveness.,Allah would grant him eternal bliss.,Hadith,10
637,"The Prophet(SAW) said, ""Truth guides one to virtue, and virtue guides one to Paradises…? Where does lying lead the liar?","Lying leads to vice, and vice leads to hellfire.",Lying leads to success.,Lying leads to forgiveness if done sincerely.,Lying leads only non believer to punishment.,"Lying leads to vice, and vice leads to hellfire.",Hadith,10
638,The Prophet(SAW)refered to three things which could be done if someone observed something wrong. Mention one of them. ,Whoever observes something wrong should change it with his hands,Whoever observes something wrong should change it with his hands,He should not speak out against it,He should hide it in his heart,None of the above.,Hadith,10
639,What would the Prophet(SAW) do when anything distresed hm?,He would say nafl(voluntry prayers).,He would seclude himself in a mountain.,He would say nafl(voluntry prayers).,He would supplicate to Allah.,He would listen to recitation of the Quran on a radio.,Hadith,10
640,"The Prophet(SAW)said,""Truly, charity appeases the wrath of Allah…"" What else did he say about it?",It eases the sufferings of death.,It lengthens life span.,It increases health.,It eases the sufferings of death.,It increases wealth.,Hadith,10
641,The Prophet(SAW)once mentioned two courses of action which would admit a person to Paradise. Name any one of them.,Being mindful of one's duty to Allah,Be attentive to elders.,Be dutiful to the Nation,Be of low conducts,Being mindful of one's duty to Allah,Hadith,10
642,According to the Prophet(SAW) what reward will Allah give to one who builds a mosque for Him?,Allah will make a home in Paradise for whoever builds a mosque for Him.,Allah will make a home in Paradise for whoever builds a mosque for Him.,Allah will grant his long life.,Allah will bless him with submissive wife(s).,Allah will increase him in wealth.,Hadith,10
643,"The Prophet(SAW)said,""When a person dies, his actions come to an end, except for three things that he leaves behind…"" Name any one of them.",Righteous children who pray for him,Scintific discovery that he left behind.,Righteous children who pray for him,A very big mansion left behind ,A surplus money left in Bank account.,Hadith,10
644,The Prophet(SAW) said that all our actions would be judged by what?,Actions are judged according to their intentions.,Actions are judged according to their doers.,Actions are judged according to their merits.,Actions are judged according to their intentions.,Actions are judged according to their importance.,Hadith,10
645,The Prophet(SAW) forbade four particular activities in the mosque. Name any one of them.,Remembering death frequently.,Settling dispute.,Conducting Nikkah,Remebrance of Allah,Remembering death frequently.,Hadith,10
646,"The Prophet(SAW) asked, ""Which one of you loves property of his heirs more than his own property?"" His hearers said, ""O messenger of Allah, no one"". What did the Prophet say then?","Your property is that which you send on in charity, but that which you hold back belongs to your heirs.","Your property is that which you send on in charity, but that which you hold back belongs to your heirs.",Your property is that which you hold on to for future occurences.,Your property is what you are able to protect.,Your property is what you left for your children,Hadith,10
647,He who makes up his mind to  do a good deed is rewarded by Allah in full measure for it. How much reward does Allah give if he proceeds to carry it out?,10 to 700 times or more.,20 T0 100 times.,10 to 700 times or more.,10 to 50 times or more.,10 to 30 times or more.,Hadith,10
648,There are two short prayers to be said on entering and leaving the mosque. Do you remember any one of them.,"While entering the mosque one should say""O Allah, open for me the gates of Your mercy"" and while leaving it, one should pray, 'O Allah, open for me the gates of Your favour"".","While entering the mosque one should say""O Allah, open for me the gates of Your favour"" and while leaving it, one should pray, 'O Allah, open for me the gates of Your mercy"".","While entering the mosque one should say""O Allah, open for me the gates of Your blessings"" and while leaving it, one should pray, 'O Allah, open for me the gates of Your endurance"".","While entering the mosque one should say""O Allah, open for me the gates of Your mercy"" and while leaving it, one should pray, 'O Allah, open for me the gates of Your favour"".","While entering the mosque one should say""O Allah, open for me the gates of Your forgiveness"" and while leaving it, one should pray, 'O Allah, open for me the gates of Your kindness"".",Hadith,10
649,"The Prophet(SAW)said, that a certain quality in the believer would carry the heaviest weight on the Day of Judgement. What is this quality?",Good conduct.,Attending halqah.,Fast in Ramadan,Observing salah,Good conduct.,Hadith,10
650,"If a person feels inclined to do an evil deed, but does not carry it out, is there a reward for him?","Yes, Allah rewards him in full measure as if it were a good deed.","Yes, Allah rewards him in full measure as if it were a good deed.",Allah punishes him for thinking evil.,Allah grant him long life.,Allah forgets him in his evils.,Hadith,10
651,Do you remember what the Prophet(SAW) said in a sermon at the beginning of Ramadan about the month of fasting ?,"""Truly, a blessed month has come to you and in this month there is a night which is better than 1000 months"".","""Truly, a blessed month has come to you and in this month there is a night which is better than 1000 months"".","""Truly, a usual month has come to you and in this month there is a night which is better than 10,000 months"".","""Truly, a usual month has come to you and in this month there is a day which is better than 1000 months"".","""Truly, a blessed month has come to you and in this month there is a night which is better than 100000 months"".",Hadith,10
652,"The Prophet(SAW) Once said,"" should I tell you about two character traits which are very light on the tongue but which will carry much weight on the Day of Judgement?"" Give one of them.",Keeping a prologned silence,Keeping a long face.,Keeping quiet in the face of oppression,Keeping a prologned silence,Keeping environment clean.,Hadith,10
653,What did the Prophet (SAW) say about those who were merciful to others?,"If you treat the dwellers of the earth kindly, He who dwells in the heavens will treat you kindly.","If you treat the dwellers of the earth kindly, He who dwells in the heavens will increase you in wealth.","If you treat the dwellers of the earth kindly, He who dwells in the heavens will treat you kindly.","If you treat the dwellers of the earth kindly, He who dwells in the heavens will grant you your wish.","If you treat the dwellers of the earth kindly, He who dwells in the heavens will admit you into Jannah..",Hadith,10
654,"What clue did the Prophet(SAW) give to find the Lailatul Qadr or the ""Night of Power"" during Ramadan?",Search for Lailatul Qadr among the odd numbered nights of the last ten days of Ramadan.,Search for Lailatul Qadr on the 23rd nights of Ramadan.,Search for Lailatul Qadr on the 27th Night of Ramadan.,Search for Lailatul Qadr on the 25th nights of Ramadan.,Search for Lailatul Qadr among the odd numbered nights of the last ten days of Ramadan.,Hadith,10
655,"Once the Prophet(SAW) said that had he been an oath-taker, he would have sworn to three things being true. Name any one of them. 1. No wealth diminished because of charity; 2. ; 3. No one opens the door of begging for himself without opening the door of poverty for himself.",No wealth diminished because of charity,Unguided charity can diminish wealth.,No man pardons an oppressor except that Allah increasing his suffering on the Day of Judgement.,No wealth diminished because of charity,None of the above.,Hadith,10
656,"According to a hadith, what will Allah do for a believer who guards his tongue like a treasure?",Allah will keep him safe,Allah will keep his secrets concealed.,Allah will keep him alive and healthy.,Allah will keep his family concealed external threat.,Allah will keep him safe,Hadith,10
657,"What are the command given to the Prophet(SAW) by the Lord? 1. Fearing Allah in private and in public; 2. being Just, whether in anger or in calmness; 3. Being moderate in both poverty and affluence; 4. Joining hands  with those who break away from me; 5. Giving to those who deprive me; 6. Forgiving those who wrong me; 7. Letting my silence be meditation 8. and my words of remembrance of Allah 9. and my vision keen observation.",all of the above.,all of the above.,"1, 2 and 3 only","3, 4, 6 and 9 only.","2, 5, 7, and 8.",Hadith,10
658,To what did the Prophet(SAW) compare a person who had returned from Hajj after properly observing it?,A new baby,A new wife,A new life,A new baby,A new prisoner,Hadith,10
659,"The Prophet(SAW) said, ""He who recites the Quran fluently will be in the company of the noble and virtous angels…"" But what would be the reward of those who recited the Quran with difficulty and haltingly?","Those who read the Quran with difficulty, but still try and read, even if they stammer in doing so, will get a double reward.",Those who read the Quran with difficulty  will get punished for improper recitation.,"Those who read the Quran with difficulty, but still try and read, even if they stammer in doing so, will get one reward.",Those who read the Quran with difficulty will not get any double reward.,"Those who read the Quran with difficulty, but still try and read, even if they stammer in doing so, will get a double reward.",Hadith,10
660,What is the reward for performance of Hajj acceptable to Allah?,Paradise.,Paradise.,Fame on earth,Longevity on earth,Wealth and health.,Hadith,10
661,What did the Prophet(SAW) call riya (doing virtous deed for show),Minor polytheism.,Steadfastness,Hidden polytheism.,Minor polytheism.,Major polytheism.,Hadith,10
662,"When a believer commits a sin, how does it affect his heart?","When a believer commits a sin, a black spot forms on his heart, if he repent and seeks Allah's forgiveness, his heart will be cleansed.","When a believer commits a sin, a yellow spot forms on his heart, if he repent and seeks Allah's forgiveness, his heart will become white.","When a believer commits a sin, a black spot forms on his heart, if he repent and seeks Allah's forgiveness, his heart will be cleansed.","When a believer commits a sin, a brown spot forms on his heart, if he repent and seeks Allah's forgiveness, his heart will not sway.",None of the above.,Hadith,10
663,Who are Allah's guest?,Those who perform Hajj and umrah.,Those who perticipated in battle of Badr,Those who perticipated in battle of Uhud.,Those who perform ritual cleansing.,Those who perform Hajj and umrah.,Hadith,10
664,"The Prophet(SAW) named three things, freedom from which would entitle one to enter the paradise. Name any one.",Debt ,Debt ,Time,Money,Food,Hadith,10
665,What did the Prophet(SAW) say about the believer's guest for knowledge?,'A believer never stop seeking knowledge until he enters Paradise.,'A believer never stop seeking prayer points until his prayers are answered.,'A believer never stop seeking knowledge until he gets old.,'A believer never stop seeking knowledge until he enters Paradise.,'A believer never stop seeking diabolic means until he becomes accursed.,Hadith,10
666,"Someone said to the Prophet(SAW) ""My father is very old and does not have the strength to perform hajj or Umrah"" What did the Prophet(SAW) tell him?",Perform Hajj and Umrah on behalf of your father.,Allah has waived Hajj and Umrah for your father.,Perform Hajj and Umrah on behalf of your father.,Look for someone to perform Hajj and Umrah on behalf of your father.,forget about the hajj and umrah.,Hadith,10
667,"What are the signs of hypocrite? 1. when he speaks he lies 2. when he makes promise, he break it 3. when he is entrusted (with something), he default on it 4. when he argues, he uses abusive language",all of the above. ,1 and 4 only.,"1, 2, and 3 only.","1, 2, and 4 only.",all of the above. ,Hadith,10
668,What did the Prophet(SAW) say about the good teacher of mankind?,"Allah bestow his blessings upon those who impart beneficial knowledge to others, and His angels and all those in Heaven and earth even the ants in their hills and the fish in water- invoke His blessings upon them also.","Allah bestow his blessings upon those who impart beneficial knowledge to others, and His angels and all those in Heaven and earth even the ants in their hills and the fish in water- invoke His blessings upon them also.",Good teacher will be rewarded only in heaven by Allah.,Good teachers are rare to come by.,None of the above.,Hadith,10
669,What is the reward of Umrah performed during Ramadan?,Its reward is equal to that of Hajj.,Its reward is half of that of Hajj.,Its reward double that of Hajj.,Its reward is equal to that of Hajj.,Its reward is only known to Allah.,Hadith,10
670,Who will be worst person on the Day of Judgement?,One who is two-faced.,One who steals from people.,One who is two-faced.,One who begs on the street.,One who abadons his family.,Hadith,10
671,"If a person does not pay zakat, what will happen to him on the Day of Judgement?",He will find huge serpent around his neck on the Day of Judgement.,He will find huge serpent around his neck on the Day of Judgement.,He will not receive any intercession.,He will be thrown into hell fire.,Allah will not be merciful unto him.,Hadith,10
672,"On the Day of Judgement, Allah will come close to a believer, confront him privately and say"" Do you know this sin and that sin"" thus reminding him of his various sin"". The man will answer, ""Yes, O Lord"" and he will think he is ruined. What will Allah do to him?","Allah will say, I concealed your sins from the people on earth, and I will forgive you for them today.","Allah will say, you concealed your sins from the people on earth, but I will reveal them today.","Allah will say, I concealed your sins from the people on earth, but I will not forgive them today.","Allah will say, I concealed your sins from the people on earth, and I will forgive you for them today.","Allah will say, I concealed your sins from the people on earth, but you cannot run away from them today.",Hadith,10
673,"The Prophet(SAW) said, The son of Adam grows old, but two things remains young in him…"" name any one of them.",Hope for a longer life.,Greed for many wives,Hope for a longer life.,Greed for children.,Hope for good health.,Hadith,10
674,After how long a period is a person required to pay zakat on something which he/she owns?,One year.,After monthly salary.,Six month,Two years,One year.,Hadith,10
675,The Prophet(SAW) said that there were two faults that no believers was guity of. Name any one of them,Miserliness,Miserliness,Old age,Blindness,Baldness,Hadith,10
676,"The Prophet(SAW) said "" Had there been two valleys of wealth for son of Adam what else would he have sought?""",He would sought for third one.,He would sought for more.,He would sought for none.,He would sought for third one.,He would sought for third and fourth one.,Hadith,10
677,"What did the Prophet(SAW) call"" the best discourse"" and "" the best guidance""?",The best discourse is the Book of Allah i.e Quran and the best guidance is the guidance of Muhammad.,The best discourse is the intelligent discourse and the best guidance is the scientific one.,The best discourse is the Book of Allah i.e Quran and the best guidance is the guidance of Muhammad.,The best discourse is the hadith of the Prophet and the best guidance is the Quran.,None of the above.,Hadith,10
678,What did the Prophet(SAW) say about bribery?,The Prophet(SAW) cursed the one who accepts  bribe and also the one who offers it.,The Prophet(SAW) overlooked the one who accepts bribe and also the one who offers it.,The Prophet(SAW) was silent on the one who accepts bribe and also the one who offers it.,Bribery is never discussed by the Prophet.,The Prophet(SAW) cursed the one who accepts  bribe and also the one who offers it.,Hadith,10
679,"The Prophet(SAW) said when a person curses someone, the curse ascend to heaven, where all the gates are close against it. Then it descends to the earth and turns right and left, and finds no exit. What happens then?","The curse find the one who has been cursed and attaches itself to him if he deserves it; but if he doesn’t, it returns to the one who uttered it.","The curse find the one who has been cursed and attaches itself to him if he deserves it; but if he doesn’t, it returns to the one who uttered it.",The curse returns to the one who uttered it.,The curse find the one who has been cursed and attaches itself to him.,None of the above.,Hadith,10
680,The Prophet(SAW) specified four particular things which were the best gifts anyone could have in this world and the next. What are the four things? 1. A grateful heart; 2. A remembering tongue; 3. A body which bears hardship with patience; 4. A wife who gives him no worry about her person or his wealth; 5. Children who are obedient.,"1, 2, 3, and 4","1, 2, 4, and 5.","2, 3, 4, and 5.","1, 2, 3, and 4","1, 2, 3, and 5.",Hadith,10
681,"Once the Prophet(SAW) pressed his hand into middle of a pile of corn which was on sale. He felt that it was wet. The owner said that it was wet because of rain. Then the Prophet(SAW) asked,""Why did you not let the wet corn remain on top so that people could see it...?"" What did the Prophet(SAW) say about cheating to the corn merchant?",He who cheats others is not one of us.,He who cheats others is very smart.,He who cheats others is not one of us.,He who cheats others will rot in fire.,He who cheats others will be cheated back.,Hadith,10
682,"The Prophet(SAW) said  that when a person recite one letter of the Quran, every letter brought rewards equal to ten good deeds. What example did the Prophet(SAW) give to explain this?","The Prophet(SAW)said,""I do not mean that ""alif, laam, meem"" is one letter, but ""alif"" is one letter and meem is one letter.""","The Prophet(SAW)said,""I do not mean that ""Yaa, Seen"" is one letter, but ""Yaa"" is one letter and ""Seen"" is one letter.""","The Prophet(SAW)said,""I do not mean that ""Taa, haa"" is one letter, but ""Taa"" is one letter and ""haa"" is one letter.""","The Prophet(SAW)said,""I do not mean that ""alif, laam, raa"" is one letter, but ""alif"" is one letter and ""raa"" is one letter.""","The Prophet(SAW)said,""I do not mean that ""alif, laam, meem"" is one letter, but ""alif"" is one letter and meem is one letter.""",Hadith,10
683,"What did the Prophet(SAW) means as ""most excellent form of obedience to parents.""",The most excellent form of obedience one can show to parents is to befriend one's father's friend after he has passed away.,The most excellent form of obedience one can show to parents is to befriend one's father's friend after he has passed away.,The most excellent form of obedience one can show to parents is to quickly buried him after he has passed away.,The most excellent form of obedience one can show to parents is to quickly share his estate after he has passed away.,The most excellent form of obedience one can show to parents is to discard one's father's friend after he has passed away.,Hadith,10
684,"The Prophet(SAW) said,""Pay a worker his wages…"" Do you remember what is the next part of this famous hadith?","""… even before the sweat from his labour dries up(on his body).",… the moment the month ends,"""… even before he passes job satisfaction test.","""… even before the sweat from his labour dries up(on his body).","""… even before he asks for it.",Hadith,10
685,What are the three things displeasing to Allah? 1. Indulging in too much talk; 2. Asking too many questions; 3. Wasting money; 4. Walking with pride,"1, 2, and 3 only.","1, 2 and 4 only","1, 2, and 3 only.","1, 2, and 4 only.",all of the above. ,Hadith,10
686,"According to the Prophet(SAW), what can annul predestination?",Supplication. ,Fasting.,Iman.,Hajj,Supplication. ,Hadith,10
687,"According to a hadith, the Prophet(SAW) cursed some kind of people associated with usury, saying they were all equal (in sin). Who are they? 1. One who devours usury; 2. Its Prayer; 3. Its scribe; 4. Its witnesses.",all of the above.,all of the above.,1 and 2 only.,2 and 3 only.,"1, 2 and 4 only.",Hadith,10
688,What did the Prophet(SAW) say about those who went to fortune-teller to ask about the future?,Such a person prayer would not be accepted for forty nights.,Such a person prayer would not be accepted for thirty nights.,Such a person prayer would not be accepted for forty-one nights.,Such a person prayer would not be accepted for forty nights.,Such a person prayer would not be accepted for three nights.,Hadith,10
689,The Prophet(SAW) said that a parent was the best of the gates of Paradise. Do you remember the next part of this hadith?,"So if you like, guard the gate or destroy it.",So if you like guard the gate.,"So if you like, guard the gate or destroy it.",So if you like destroy it.,So if you like nourish the gate.,Hadith,10
690,How is one who fails to thank people (for their favours) regarded?,Such a person is regarded as one who fails to thank Allah.,Such a person is regarded as one who might thank Allah.,Such a person is regarded as one who thanks Allah.,Such a person is regarded as ingrate.,Such a person is regarded as one who fails to thank Allah.,Hadith,10
691,What did the Prophet(SAW) say about one who tells lies to make people laugh,Woe to him!,May Allah heals him,Woe to him!,May he be forgiven,May Allah punish him.,Hadith,10
692,"The Prophet(SAW) cited three virtues, the possession of which would incline Allah to make one's death easy and admit one to Paradise. Name them. 1. Mercy to the weak; 2. Kindness to parents; 3. Treating slaves (servants) well. 4. Manumission of slaves","1, 2, and 3 only.","1, 2, and 3 only.","2, 3, and 4 only.","1, 2, and 4 only.",all of the above. ,Hadith,10
693,What act of a person when he eats or drinks will receive Allah's favours.,Allah is pleased with His servant who eats a morsel and praises Him for it and who takes sip of something and praises Him for it.,Allah is pleased with His servant who eats a morsel and belches afterwards.,Allah is pleased with His servant who takes sip of something and yawn afterwards.,Allah is pleased with His servant who eats a morsel and praises Him for it and who takes sip of something and praises Him for it.,Allah is pleased with His servant who eats a morsel and praises the cook and who takes sip of something and praises the manufacturer.,Hadith,10
694,According to the Prophet(SAW) what should a person do if he wants Allah to respond to his supplication at the time of his calamities?,He should make frequent supplications in times of happiness.,He should be patient with those around him.,He should not vent his anger on his neighours.,He should make orphans happy.,He should make frequent supplications in times of happiness.,Hadith,10
695,"The Prophet(SAW) said, four things whosoever has been gifted with them, has been gifted with best things of this world and the next world. Name them.","1, 2, 3 and 4 only.",1 only.,"1, 2, 3 and 4 only.","1, 2, 3, and 5 only.","2, 3, 4, and 5 only.",Hadith,10
696,"The Prophet(SAW) said, ""It is not poverty that I fear for you…"" Then what was it that he was concerned about?","Worldly blessings, which can be destructive.","Worldly blessings, which can be destructive.",Women who are serpent.,Children who are not obedient,Neighbours who are not peaceful.,Hadith,10
697,The Prophet(SAW) said that a dead person in the grave was like a drowning man looking for help from others. What did the Prophet(SAW) have to say about this?,The Prophet(SAW) urged us to seek Allah's forgiveness for the deceased.,The Prophet(SAW) urged us to seek Allah's benevolence for the deceased.,The Prophet(SAW) urged us to seek Allah's guidance for the deceased.,The Prophet(SAW) urged us to seek Allah's forgiveness for the deceased.,The Prophet(SAW) urged us to seek Allah's protection for the deceased.,Hadith,10
698,"The Prophet(SAW) said that the world, the whole of it, was an asset and named the best asset in the world. Name it.",A virtuous wife.,A reliable family,A faithful child,A trustworthy friend,A virtuous wife.,Hadith,10
699,What will happen to such a person as makes the world his objective?,Allah will keep poverty before his eyes.,Allah will keep hunger before his eyes.,Allah will keep poverty before his eyes.,Nothing will suffice him.,He will always beg for what he does not need.,Hadith,10
700,The Prophet(SAW) named four kinds of people who will be considered as matyrs. Name them. 1. He who dies defendig his property 2. He who dies defending himself 3. He who dies defending his faith; 4. He who dies defending his family. 5. He who dies defending his nationality.,All of the above except 5.,All of the above except 5.,All of the above except 1.,All of the above except 4.,All of the above except 3.,Hadith,10
701,"Abu Masud al-Ansar(RA),a Companion of the Prophet Muhammad(SAW), was beating his slave when he heard the voice of Prophet(SAW) from behind him. What did the Prophet(SAW) say?","""Know, O Abu Masud! Allah has more power over you than you have over him.""","Know, O Abu Masud! Allah has cursed you for beating him.","Know, O Abu Masud! Allah has made him master over you.","""Know, O Abu Masud! Allah has more power over you than you have over him.""","Know, O Abu Masud! Allah has forgiven the slave and added his sins to your scale.",Hadith,10
702,The Prophet(SAW) named three things and said one who believed in Allah and the last Day should do them. Name them.,"1, 2, and 3 only.","2, 3, and 4 only.","1, 3, and 4 only","1, 2, and 4 only.","1, 2, and 3 only.",Hadith,10
703,"Which surah of the Quran, did the Prophet(SAW) say should be recited for a dying person?",Surah Ya seen.,Surah Mulk,Surah Ya seen.,Surah Qalam,Surah Waqiah,Hadith,10
704,"When the Prophet(SAW) reached Madinah he announced four things to be done and said whoever carried them out would enter Paradise. Name them. 1. O people! Spread peace; 2.Give food ( to the poor); 3. Keep the ties of kinship; 4. Pray at night., when people remain asleep. 5. Pay zakah when it is due.","1, 2, 3, and 4. only","1, 2, 3, and 4. only","2, 3, 4, and 5 only.","1, 3, 4, and 5 only.","1, 2, 4, and 5 only.",Hadith,10
705,"The Prophet(SAW) said to Anas ibn Malik, ""O son, try to pass your morning and evening in such a state that your heart is free from ill-feeling, jealousy, and hatred for everyone…"" What would be the reward for one who did so?",He would be with the Prophet(SAW) in paradise.,He would be rewarded with heaps of gold.,He would be free of all sins.,He would be with the Prophet(SAW) in paradise.,He would be free from torment of the grave.,Hadith,10
706,"When Abu Ayyub al-Ansari said to the Prophet(SAW), Give me some good counsel and let it be brief,"" he gave him some pieces of advice. Give them. 1. When you stand for prayer; offer it as one who is bidding farewell to the world…2. Never utter a word for which you may have not repent or answer for; 3. Distance yourself totally from what other people posses or what you see in their hands.",all of the above. ,3 only.,2 only.,1 only.,all of the above. ,Hadith,10
707,"The Prophet(SAW)said, alms to a poor man merited one reward. What did he say if alms was given to a kinsman?",It merited two rewards.,It merited ten rewards.,It merited two rewards.,It merited three rewards.,None of the above.,Hadith,10
708,"The Prophet(SAW) named some virtues and said as long as you practised them, nothing could cause you any loss in the process. Name them. 1. Guarding of trust; 2. Trustfulness in speech; 3. Beauty of conduct; 4. Moderation in eating food.",All of the above.,All of the above.,1 and 3 only,1 and 2 only,3 only.,Hadith,10
709,"If someone had committed  a sin, what advice did the Prophet(SAW) give him?","Do a good deed after every sin, for it will cancel it out.",Confess your sins to an Imam.,confess your sins to a most trusted friends.,"Do a good deed after every sin, for it will cancel it out.",Ignore the sin and don't sin again.,Hadith,10
